node,profile,nid,spot.channel,Min time/rank,Max time/rank,Avg time/rank,Total time,Calls/rank (min),Calls/rank (avg),Calls/rank (max),Calls (total),Min time/rank (exc),Max time/rank (exc),Avg time/rank (exc),Total time (exc),name
"{'name': 'SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace', 'type': 'function'}",1024118826,80.0,regionprofile,0.000210352,0.000210352,0.000210352,0.000210352,16.0,16.0,16.0,16.0,0.000210352,0.000210352,0.000210352,0.000210352,"SharedAllocationRecord<Kokkos::CudaSpace, void>::SharedAllocationRecord(): fence after copying header from HostSpace"
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,81.0,regionprofile,0.00057905,0.00057905,0.00057905,0.00057905,63.0,63.0,63.0,63.0,0.00057905,0.00057905,0.00057905,0.00057905,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::View::initialization [List of NodeIDs]', 'type': 'function'}",1024118826,82.0,regionprofile,8.7208e-05,8.7208e-05,8.7208e-05,8.7208e-05,1.0,1.0,1.0,1.0,5.4568e-05,5.4568e-05,5.4568e-05,5.4568e-05,Kokkos::View::initialization [List of NodeIDs]
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,83.0,regionprofile,3.264e-05,3.264e-05,3.264e-05,3.264e-05,3.0,3.0,3.0,3.0,3.264e-05,3.264e-05,3.264e-05,3.264e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::Impl::ViewValueFunctor: View init/destroy fence', 'type': 'function'}",1024118826,84.0,regionprofile,0.000154385,0.000154385,0.000154385,0.000154385,13.0,13.0,13.0,13.0,0.000154385,0.000154385,0.000154385,0.000154385,Kokkos::Impl::ViewValueFunctor: View init/destroy fence
"{'name': 'Kokkos::deep_copy: scalar copy, pre copy fence', 'type': 'function'}",1024118826,85.0,regionprofile,0.000162883,0.000162883,0.000162883,0.000162883,18.0,18.0,18.0,18.0,0.000162883,0.000162883,0.000162883,0.000162883,"Kokkos::deep_copy: scalar copy, pre copy fence"
"{'name': 'Kokkos::ViewFill-1D', 'type': 'function'}",1024118826,86.0,regionprofile,0.000481552,0.000481552,0.000481552,0.000481552,5.0,5.0,5.0,5.0,0.000266648,0.000266648,0.000266648,0.000266648,Kokkos::ViewFill-1D
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,87.0,regionprofile,0.000214904,0.000214904,0.000214904,0.000214904,15.0,15.0,15.0,15.0,0.000214904,0.000214904,0.000214904,0.000214904,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Kokkos::deep_copy: scalar copy, post copy fence', 'type': 'function'}",1024118826,88.0,regionprofile,0.000163342,0.000163342,0.000163342,0.000163342,18.0,18.0,18.0,18.0,0.000163342,0.000163342,0.000163342,0.000163342,"Kokkos::deep_copy: scalar copy, post copy fence"
"{'name': 'Kokkos::View::initialization [Write counter] via memset', 'type': 'function'}",1024118826,89.0,regionprofile,6.9821e-05,6.9821e-05,6.9821e-05,6.9821e-05,1.0,1.0,1.0,1.0,4.0168e-05,4.0168e-05,4.0168e-05,4.0168e-05,Kokkos::View::initialization [Write counter] via memset
